"Sample","Tissue","Turbo","Sex","ID","sampleID"
"X208","LSC","TC","m","5","X208_LSC_TC_m_5"
"X209","LSC","TC","f","2","X209_LSC_TC_f_2"
"X212","LSC","TC","m","2","X212_LSC_TC_m_2"
"X214","LSC","TC","m","6","X214_LSC_TC_m_6"
"X219","LSC","TC","f","1","X219_LSC_TC_f_1"
"X231","LSC","TC","f","6","X231_LSC_TC_f_6"
"X232","LSC","TC","f","5","X232_LSC_TC_f_5"
"X238","LSC","TC","f","4","X238_LSC_TC_f_4"
"X241","LSC","TC","m","3","X241_LSC_TC_m_3"
"X213","LSC","TC","m","1","X213_LSC_TC_m_1"
"X216","LSC","TC","f","3","X216_LSC_TC_f_3"
"X223","LSC","TC","m","4","X223_LSC_TC_m_4"
"X143","DRG","TC","m","4","X143_DRG_TC_m_4"
"X151","DRG","TC","f","2","X151_DRG_TC_f_2"
"X154","DRG","TC","f","4","X154_DRG_TC_f_4"
"X157","DRG","TC","m","3","X157_DRG_TC_m_3"
"X158","DRG","TC","f","5","X158_DRG_TC_f_5"
"X161","DRG","TC","m","2","X161_DRG_TC_m_2"
"X162","DRG","TC","f","1","X162_DRG_TC_f_1"
"X165","DRG","TC","m","1","X165_DRG_TC_m_1"
"X160","DRG","TC","f","3","X160_DRG_TC_f_3"
"X249","paw","TC","m","4","X249_paw_TC_m_4"
"X250","paw","TC","f","4","X250_paw_TC_f_4"
"X262","paw","TC","m","5","X262_paw_TC_m_5"
"X264","paw","TC","f","5","X264_paw_TC_f_5"
"X265","paw","TC","f","2","X265_paw_TC_f_2"
"X246","paw","TC","f","1","X246_paw_TC_f_1"
"X260","paw","TC","m","2","X260_paw_TC_m_2"
"X268","paw","TC","f","3","X268_paw_TC_f_3"
"X269","paw","TC","m","3","X269_paw_TC_m_3"
"X270","paw","TC","m","1","X270_paw_TC_m_1"
"X173","SCN","TC","f","1","X173_SCN_TC_f_1"
"X174","SCN","TC","m","5","X174_SCN_TC_m_5"
"X182","SCN","TC","m","3","X182_SCN_TC_m_3"
"X186","SCN","TC","m","4","X186_SCN_TC_m_4"
"X191","SCN","TC","f","3","X191_SCN_TC_f_3"
"X193","SCN","TC","m","2","X193_SCN_TC_m_2"
"X194","SCN","TC","m","1","X194_SCN_TC_m_1"
"X199","SCN","TC","f","2","X199_SCN_TC_f_2"
"X189","SCN","TC","f","6","X189_SCN_TC_f_6"
"X198","SCN","TC","f","4","X198_SCN_TC_f_4"
"X201","SCN","TC","f","5","X201_SCN_TC_f_5"
"X195","SCN","TC","m","6","X195_SCN_TC_m_6"
"X207","LSC","T","m","2","X207_LSC_T_m_2"
"X211","LSC","T","f","3","X211_LSC_T_f_3"
"X220","LSC","T","m","5","X220_LSC_T_m_5"
"X221","LSC","T","f","5","X221_LSC_T_f_5"
"X224","LSC","T","m","1","X224_LSC_T_m_1"
"X225","LSC","T","f","6","X225_LSC_T_f_6"
"X227","LSC","T","m","6","X227_LSC_T_m_6"
"X228","LSC","T","f","2","X228_LSC_T_f_2"
"X233","LSC","T","f","4","X233_LSC_T_f_4"
"X236","LSC","T","f","1","X236_LSC_T_f_1"
"X237","LSC","T","m","4","X237_LSC_T_m_4"
"X240","LSC","T","m","3","X240_LSC_T_m_3"
"X144","DRG","T","f","1","X144_DRG_T_f_1"
"X147","DRG","T","m","2","X147_DRG_T_m_2"
"X148","DRG","T","m","1","X148_DRG_T_m_1"
"X149","DRG","T","f","3","X149_DRG_T_f_3"
"X152","DRG","T","f","4","X152_DRG_T_f_4"
"X156","DRG","T","f","2","X156_DRG_T_f_2"
"X164","DRG","T","m","3","X164_DRG_T_m_3"
"X145","DRG","T","m","4","X145_DRG_T_m_4"
"X251","paw","T","f","2","X251_paw_T_f_2"
"X255","paw","T","f","4","X255_paw_T_f_4"
"X266","paw","T","f","1","X266_paw_T_f_1"
"X247","paw","T","m","2","X247_paw_T_m_2"
"X253","paw","T","m","4","X253_paw_T_m_4"
"X254","paw","T","f","3","X254_paw_T_f_3"
"X257","paw","T","f","5","X257_paw_T_f_5"
"X272","paw","T","m","3","X272_paw_T_m_3"
"X261","paw","T","m","1","X261_paw_T_m_1"
"X170","SCN","T","m","4","X170_SCN_T_m_4"
"X175","SCN","T","f","5","X175_SCN_T_f_5"
"X177","SCN","T","f","6","X177_SCN_T_f_6"
"X178","SCN","T","m","1","X178_SCN_T_m_1"
"X181","SCN","T","m","3","X181_SCN_T_m_3"
"X197","SCN","T","f","1","X197_SCN_T_f_1"
"X171","SCN","T","f","2","X171_SCN_T_f_2"
"X183","SCN","T","m","2","X183_SCN_T_m_2"
"X185","SCN","T","f","4","X185_SCN_T_f_4"
"X187","SCN","T","f","3","X187_SCN_T_f_3"
