"","sampleID","Condition","Concentration","Slot","Value","Sample"
"1","WT1_25_Slot2-5_1_3496","WT","25","Slot2-5","1","3496"
"2","WT1_50_Slot2-9_1_3502","WT","50","Slot2-9","1","3502"
"3","WT1_100_Slot2-4_1_3495","WT","100","Slot2-4","1","3495"
"4","WT1_Veh_Slot2-2_1_3493","WT","Veh","Slot2-2","1","3493"
"5","WT3_25_Slot2-6_1_3497","WT","25","Slot2-6","1","3497"
"6","WT3_50_Slot2-10_1_3503","WT","50","Slot2-10","1","3503"
"7","WT3_100_Slot2-11_1_3504","WT","100","Slot2-11","1","3504"
"8","WT3_Veh_Slot2-13_1_3507","WT","Veh","Slot2-13","1","3507"
"9","WT4_25_Slot2-14_1_3508","WT","25","Slot2-14","1","3508"
"10","WT4_50_Slot2-7_1_3499","WT","50","Slot2-7","1","3499"
"11","WT4_100_Slot2-16_1_3510","WT","100","Slot2-16","1","3510"
"12","WT4_Veh_Slot2-12_1_3505","WT","Veh","Slot2-12","1","3505"
"13","WT5_25_Slot2-8_1_3500","WT","25","Slot2-8","1","3500"
"14","WT5_50_Slot2-17_1_3511","WT","50","Slot2-17","1","3511"
"15","WT5_100_Slot2-3_1_3494","WT","100","Slot2-3","1","3494"
"16","WT5_Veh_Slot2-15_1_3509","WT","Veh","Slot2-15","1","3509"
