"","V1"
"Abcb9",0.346350386098673
"Abcg2",0.635072050189804
"Abhd12",0.995625724275533
"Ablim1",0.960778355288716
"Ablim2",0.967806631673513
"Acp1",0.869908387632404
"Add1",0.98696815085978
"Add2",0.966095586749782
"Agap3",0.984956420979769
"Ank1",0.957800712003954
"Ank3",0.883357053803531
"Ankrd13a",-0.0632024061544468
"Ano6",0.407432789887658
"Araf",0.979818351334022
"Arfgap1",0.991429351946043
"Arhgap35",0.986060099044495
"Arhgef12",0.96864113370711
"Arl8a",0.191016049362879
"Armc1",-0.042686560208215
"Atp2b4",0.960773635458629
"Atp6v1a",0.969231876473469
"Atp6v1h",0.976908608200811
"Basp1",0.975643679003724
"Bcl2l14",0.464022434953165
"Cab39l",0.937187396609176
"Casp1",0.558201226999534
"Cc2d1a",0.890673789495145
"Ccs",0.955489292986425
"Cep170b",0.991957493993265
"Chmp7",0.971562670024851
"Ckb",0.98884287784351
"Clip2",0.996916972295282
"Cndp2",0.973035384347645
"Coa7",0.264544007677914
"Cox15",0.033795622643356
"Crkl",0.866870391740391
"Crmp1",0.949312127452508
"Cs",0.943931553194075
"Csk",0.960726304102297
"Csnk1e",0.0888421990639176
"Ctnnb1",0.709539576357335
"D17h6s53e",0.336780992779703
"Ddhd2",0.71349848397432
"Dmtn",0.937936142823773
"Dmxl2",0.951157303630142
"Dnajc6",0.991751734986694
"Dock4",0.977461871590017
"Dpysl2",0.983003091552172
"Dtnb",0.608023793220264
"Efhd2",0.99191352472913
"Ehd3",0.948975085113978
"Eml1",0.985121235379542
"Enah",0.986249619173919
"Epb41l3",0.87386348567667
"Fam162a",-0.344477367994925
"Fer1l5",0.51274279038992
"Fhl1",0.812228792554154
"Gbe1",0.900034719537009
"Gclm",0.976274710358678
"Glrx3",0.976721448740878
"Gps1",0.0240770860652332
"Gsk3b",0.9774292436216
"Hdac4",0.530873525503211
"Hint2",0.232728684917236
"Hint3",0.898675112748035
"Hspa12a",0.966187060303568
"Hspa4",0.976019867677306
"Impa1",0.986529337750463
"Kank4",0.987635863546811
"Katnal1",0.972981179821277
"Kcnj11",0.0133915918802887
"Kif2a",0.992515907646354
"Kif5c",0.974120538816828
"Klc1",0.991219410211691
"Klc2",0.991872042150886
"Lamb2",0.371522926924812
"Lancl1",0.485105271812187
"Lcp1",0.983278305638306
"Ldb3",0.975246259751502
"Lgals8",0.899458104017319
"Lonp1",0.387510058114578
"Lrch4",0.410178182643392
"Luc7l3",0.306452975278839
"Luzp1",0.941388221064279
"Lyrm1",0.186717183146452
"Macroh2a2",0.570062054792582
"Madd",0.973032689678842
"Magi3",0.960854650647185
"Map1a",0.925760438620321
"Map1b",0.832799029607156
"Map2k1",0.975594245720484
"Map2k6",0.913545830845958
"Map6",0.983409094874148
"Mapt",0.978263758138527
"Mast1",0.987144516336311
"Mdh1",0.951167679838156
"Mif",0.844712243317408
"Mob2",0.959700955157193
"Mpz",0.650911971718362
"Mtmr12",0.218291268564188
"Napg",0.977304869184904
"Ncam1",0.993879366532958
"Nck1",0.988172151333747
"Necap1",0.992648951077967
"Nectin3",0.727577724100053
"Nefm",0.954618848429372
"Nek7",0.977307692530962
"Nisch",0.0480470970367987
"Nsf",0.979342748262654
"Numb",0.921410088091785
"Numbl",0.979783438151473
"Oga",0.969668698315212
"Ola1",0.984455918749116
"Pacs1",0.977406520076225
"Pacsin1",0.808798779208483
"Pafah1b1",0.952952296644156
"Paics",0.988069184351219
"Palm",0.966068084856628
"Patj",0.291043618958435
"Pcmt1",0.972799929910385
"Pex5l",0.974841132613459
"Pin1",0.44027466496615
"Pla2g6",0.333417339809407
"Ppa1",0.947087731817544
"Ppef1",0.863836000577667
"Ppip5k2",0.96898035244651
"Ppm1a",0.482720220537026
"Ppp3ca",0.981870105116472
"Ppp4r4",0.979495229000681
"Praf2",0.945947247683896
"Prkaa2",0.874003759895651
"Prkar2b",0.814682978412184
"Psap",0.468446276188675
"Ralgapa2",0.354335842264688
"Rell1",0.477165531700926
"Rgs7bp",-0.2085400461364
"Rtn4",0.988827605656281
"Scyl2",0.958638117043294
"Sestd1",0.980204373342672
"Sh3glb1",0.984383968969351
"Shank1",0.276139240642145
"Shc1",0.98522366415032
"Sirt2",0.963473258941673
"Skt",0.979531926310663
"Slc17a7",0.975334335219317
"Slitrk5",0.37321927416281
"Smap1",0.981817338112062
"Snap25",0.93423646447091
"Snap91",0.990138744761115
"Snca",0.979526720944526
"Sncb",0.973275687396182
"Sncg",0.851133376515304
"Snx4",0.964208471064657
"Sorbs1",0.954025913050034
"Stambp",0.985685330626969
"Strada",0.957223365110073
"Stxbp1",0.955092918679824
"Stxbp5",0.985343304674044
"Tagln3",0.982692295464962
"Tbc1d10b",0.988459278978019
"Tbc1d17",0.890768015055637
"Tbc1d5",0.986731745923546
"Tbcb",0.984255886239174
"Tbcd",0.929202773016044
"Tecpr1",-0.13951319982947
"Tigar",0.976267071187546
"Tkt",0.968104720058564
"Tm9sf2",0.513786539772297
"Tmem30a",0.653307086119674
"Tmod2",0.971022264628592
"Tnpo2",0.918766189204689
"Tppp3",0.971472060707245
"Trip10",0.803917795378958
"Trpv1",0.992590023273578
"Tubb4b",0.774328028311077
"Ubash3b",0.933607083847441
"Ube2q2",0.690535152446053
"Ubxn1",0.451940727082948
"Usp25",0.371747279229588
"Usp8",0.987814437463225
"Uvrag",0.69477221075115
"Vkorc1",0.583839443730991
"Vps13a",0.962298807204309
"Vsnl1",0.966355448450323
"Vwa5a",0.950282706987281
"Wdr7",0.900939256178851
"Yeats2",0.961113515323731
"Zc2hc1a",0.969989326594452
"Zfand2b",0.358154004407557
"Zyx",0.969945253536877
